21-08-2019:15:33:02,861 INFO [test_1.py:173] 更换图像完成，断言成功
21-08-2019:15:35:31,968 INFO [test_1.py:41] 登录失败，断言成功
21-08-2019:15:35:49,430 INFO [test_1.py:41] 登录失败，断言成功
21-08-2019:15:36:06,352 INFO [test_1.py:41] 登录失败，断言成功
21-08-2019:15:36:23,305 INFO [test_1.py:41] 登录失败，断言成功
21-08-2019:15:36:40,683 INFO [test_1.py:41] 登录失败，断言成功
21-08-2019:15:37:10,389 INFO [test_1.py:48] 登录成功，断言成功
21-08-2019:15:40:27,780 INFO [test_1.py:173] 更换图像完成，断言成功
21-08-2019:17:36:04,965 INFO [test_1.py:106] 进入CIQ，断言成功
21-08-2019:17:37:49,488 INFO [test_1.py:106] 进入CIQ，断言成功
