"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 13:55:52 CST 2019","Mon Aug 26 13:56:03 CST 2019","10481","","test_1","","","","test_2",""
"passed","Mon Aug 26 13:55:45 CST 2019","Mon Aug 26 13:55:52 CST 2019","7015","","test_1","","","","test_1",""
